title,author,avg_rating,total_ratings,list_score,list_votes,book_url,scrape_timestamp,is_outlier,pop_idx,rating_bucket
"the hunger games (the hunger games, #1)",suzanne collins,4.35,10064624,4433274,45059,https://www.goodreads.com/book/show/2767052-the-hunger-games,2026-04-26 10:20:59,True,98.39,Blockbuster
pride and prejudice,jane austen,4.3,4892345,3024847,30991,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,2026-04-26 10:20:59,True,97.6,Blockbuster
to kill a mockingbird,harper lee,4.26,6983260,2635088,26908,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,2026-04-26 10:20:59,True,97.93,Blockbuster
"harry potter and the order of the phoenix (harry potter, #5)",j.k. rowling,4.5,3850923,2106299,21432,https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix,2026-04-26 10:20:59,True,98.27,Blockbuster
the book thief,markus zusak,4.39,2921481,1998396,20525,https://www.goodreads.com/book/show/19063.The_Book_Thief,2026-04-26 10:20:59,True,97.36,Blockbuster
"twilight (twilight saga, #1)",stephenie meyer,3.68,7395916,1782271,18169,https://www.goodreads.com/book/show/41865.Twilight,2026-04-26 10:20:59,True,98.09,Blockbuster
animal farm,george orwell,4.02,4657517,1750177,18109,https://www.goodreads.com/book/show/170448.Animal_Farm,2026-04-26 10:20:59,True,96.64,Blockbuster
j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings,j.r.r. tolkien,4.62,145718,1687353,17473,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,2026-04-26 10:20:59,False,96.56,Popular
"the chronicles of narnia (the chronicles of narnia, #1-7)",c.s. lewis,4.28,714655,1548690,16131,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,2026-04-26 10:20:59,True,96.0,Blockbuster
the fault in our stars,john green,4.12,5789312,1434753,14847,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,2026-04-26 10:20:59,True,96.63,Blockbuster
the picture of dorian gray,oscar wilde,4.13,1929621,1395938,14551,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,2026-04-26 10:20:59,True,95.93,Blockbuster
"the lightning thief (percy jackson and the olympians, #1)",rick riordan,4.31,3491085,1295116,13516,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,2026-04-26 10:20:59,True,95.81,Blockbuster
wuthering heights,emily brontë,3.9,2214101,1267504,13217,https://www.goodreads.com/book/show/6185.Wuthering_Heights,2026-04-26 10:20:59,True,95.89,Blockbuster
the giving tree,shel silverstein,4.39,1247931,1254320,12984,https://www.goodreads.com/book/show/370493.The_Giving_Tree,2026-04-26 10:20:59,True,96.6,Blockbuster
the perks of being a wallflower,stephen chbosky,4.24,2029458,1209728,12582,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,2026-04-26 10:20:59,True,96.14,Blockbuster
gone with the wind,margaret mitchell,4.31,1263069,1198415,12361,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,2026-04-26 10:20:59,True,96.94,Blockbuster
the little prince,antoine de saint-exupéry,4.33,2530476,1195449,12577,https://www.goodreads.com/book/show/157993.The_Little_Prince,2026-04-26 10:20:59,True,95.04,Blockbuster
jane eyre,charlotte brontë,4.16,2361530,1163058,12215,https://www.goodreads.com/book/show/10210.Jane_Eyre,2026-04-26 10:20:59,True,95.21,Blockbuster
the great gatsby,f. scott fitzgerald,3.93,6009667,1143350,12151,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,2026-04-26 10:20:59,True,94.09,Blockbuster
crime and punishment,fyodor dostoevsky,4.29,1112044,1082521,11260,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,2026-04-26 10:20:59,True,96.13,Blockbuster
"the da vinci code (robert langdon, #2)",dan    brown,3.94,2548839,1033934,10866,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,2026-04-26 10:20:59,True,95.14,Blockbuster
alice’s adventures in wonderland / through the looking-glass,lewis carroll,4.06,615589,1017353,10722,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,2026-04-26 10:20:59,True,94.88,Blockbuster
"divergent (divergent, #1)",veronica roth,4.13,4424674,1015078,10638,https://www.goodreads.com/book/show/13335037-divergent,2026-04-26 10:20:59,True,95.41,Blockbuster
les misérables,victor hugo,4.21,851684,980166,10292,https://www.goodreads.com/book/show/24280.Les_Mis_rables,2026-04-26 10:20:59,True,95.23,Blockbuster
memoirs of a geisha,arthur golden,4.16,2124552,974763,10156,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,2026-04-26 10:20:59,True,95.97,Blockbuster
"anne of green gables (anne of green gables, #1)",l.m. montgomery,4.33,1131226,971060,10209,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,2026-04-26 10:20:59,True,95.11,Blockbuster
the alchemist,paulo coelho,3.92,3645862,968793,10116,https://www.goodreads.com/book/show/865.The_Alchemist,2026-04-26 10:20:59,True,95.76,Blockbuster
